long,str,long,long,long,long,long,long,long,long,long,long,float,float,float,float,float,float,long,
1,"World\Generic\ActiveDoodads\Chest02\Chest02.mdx",0,1277,0,0,0,0,0,0,0,0,-0.260733008385,-0.451229006052,0.0074180001393,0.260616987944,0.449360013008,0.686414003372,0,
2,"World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterStuck01.mdx",0,0,0,0,0,0,0,0,0,0,-0.325455009937,-0.337294012308,0.00148700003047,0.35079100728,0.310530990362,0.990646004677,0,
3,"World\Azeroth\Stranglethorn\Buildings\TrollWatchTower\TrollWatchTower.mdx",0,0,0,0,0,0,0,0,0,0,-5.35870504379,-6.20687294006,-0.0185540001839,7.33182287216,6.69399118423,14.5302343369,0,
4,"World\Generic\Human\Passive Doodads\Wardrobe\DuskwoodWardrobe02.mdx",0,0,0,0,0,0,0,0,0,0,-0.319810003042,-0.986400008202,0.00453000003472,1.09441900253,0.993902981281,2.80294108391,0,
5,"World\Generic\Troll\Passive Doodads\TrollTablets\TrollTablet.mdx",0,0,0,0,0,0,0,0,0,0,-0.765515983105,-1.65267395973,-0.301773011684,0.0522629991174,1.62819194794,4.4329252243,0,
6,"World\Azeroth\Elwynn\PassiveDoodads\Statue\LionStatue.mdx",0,0,0,0,0,0,0,0,0,0,-3.31169700623,-3.93709301949,-1.00011897087,3.20544695854,4.16776418686,11.9430437088,0,
7,"World\Azeroth\Elwynn\PassiveDoodads\jugs\jug02.mdx",0,0,0,0,0,0,0,0,0,0,-0.266555994749,-0.264553010464,0.00271399994381,0.256743997335,0.268631994724,0.650797009468,0,
8,"World\Generic\Human\Passive Doodads\Footlockers\DuskwoodFootLocker01.mdx",0,0,0,0,0,0,0,0,0,0,-0.30524200201,-0.698801994324,-0.00598399993032,0.303308010101,0.690087020397,0.467640012503,0,
9,"World\Generic\PassiveDoodads\Barrel\BrokenBarrel02.mdx",0,0,0,0,0,0,0,0,0,0,-1.23473501205,-0.580024003983,-0.0352150015533,0.428833007813,0.815669000149,1.01848304272,0,
10,"World\Generic\ActiveDoodads\Chest01\Chest01.mdx",0,1277,0,1278,0,0,0,0,0,0,-0.393669992685,-0.590816020966,0.012198000215,0.393554002047,0.588954985142,0.630731999874,0,
11,"World\Generic\Human\Passive Doodads\Sarcophagi\Sarcophagus.mdx",0,0,0,0,0,0,0,0,0,0,-1.63276994228,-0.547134995461,-0.216284006834,1.46970200539,0.568490028381,1.01225101948,0,
12,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\WoodCross02.mdx",0,0,0,0,0,0,0,0,0,0,-0.111867003143,-0.35378998518,-0.298857986927,0.119603998959,0.386132001877,2.00865888596,0,
13,"WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\FARMDOOR01TEST.MDX",0,0,0,0,0,0,0,0,0,0,-2.81626009941,-0.418783009052,-1.70881998539,0.0410670004785,0.418783009052,1.70881998539,0,
14,"World\Generic\Human\Passive Doodads\Meat\BloodyMeat01.mdx",0,0,0,0,0,0,0,0,0,0,-1.18660104275,-1.10981297493,-0.348854005337,0.806618988514,0.931032001972,1.18261194229,0,
15,"WORLD\GENERIC\ORC\PASSIVE DOODADS\WANTEDPOSTERS\WANTEDPOSTERSCROLL01.MDX",0,0,0,0,0,0,0,0,0,0,-0.106444999576,-0.680751979351,0.802495002747,0.225400000811,0.70494300127,2.80600094795,0,
17,"World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterFramed01.mdx",0,0,0,0,0,0,0,0,0,0,-0.214215993881,-0.506723999977,-1.65218698978,0.116201996803,0.522480010986,2.49742698669,0,
18,"World\Azeroth\Westfall\PassiveDoodads\Crate\WestFallCrate.mdx",0,0,0,0,0,0,0,0,0,0,-0.428923010826,-0.763770997524,0.00334500009194,0.428923010826,0.764006018639,0.503345012665,0,
19,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\TombStone07.mdx",0,0,0,0,0,0,0,0,0,0,-0.219444006681,-0.508333027363,-0.147632002831,0.219444006681,0.508333027363,1.42611300945,0,
20,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\DirtMound01.mdx",0,0,0,0,0,0,0,0,0,0,-1.69288098812,-1.06363904476,-0.0104649998248,1.69288098812,1.00425803661,0.666918992996,0,
21,"World\Generic\Orc\Passive Doodads\Jars\JarOrc02.mdx",0,0,0,0,0,0,0,0,0,0,-0.207901999354,-0.24486400187,0.0,0.207058995962,0.234292000532,0.550984025002,0,
22,"World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerWorn01.mdx",0,0,0,0,0,0,0,0,0,0,0.417629003525,-0.984875023365,2.66095805168,0.650701999664,1.2925850153,3.51898407936,0,
25,"World\Generic\PassiveDoodads\BindStone\NewBindStone.mdx",0,0,0,0,0,0,0,0,0,0,-2.0301129818,-3.05541396141,-0.239334002137,2.5925090313,3.02322888374,9.04052257538,0,
26,"World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerNice01.mdx",0,0,0,0,0,0,0,0,0,0,-0.0902889966965,-0.807624995708,3.46315693855,0.0902900025249,0.864857971668,3.90738201141,0,
27,"World\Generic\Human\Passive Doodads\SignPosts\StoneSignPointer01.mdx",0,0,0,0,0,0,0,0,0,0,-0.166119992733,-0.846560001373,2.84608101845,0.1661169976,1.40983295441,3.90665507317,0,
28,"World\Generic\ActiveDoodads\Bushes\BerryBush01.mdx",0,0,0,0,0,0,0,0,0,0,-1.4279910326,-1.99141800404,-0.55690997839,1.43657004833,1.53928303719,2.26265501976,0,
30,"World\Generic\Human\Passive Doodads\GunShop\GunShopPowderKegOpen.mdx",0,0,0,0,0,0,0,0,0,0,-0.355892986059,-0.347723990679,-0.000388999993447,0.355385005474,0.369837999344,1.0910500288,0,
31,"World\Generic\Human\Passive Doodads\Crates\StormwindCrate01.mdx",0,0,0,0,0,0,0,0,0,0,-0.636225998402,-0.693032026291,0.00294700008817,0.630680024624,0.659835994244,1.24390101433,0,
